Categoría: Todas las categorías

Semana,pytorch,tensorflow
2020-04-19,54,72
2020-04-26,55,71
2020-05-03,53,70
2020-05-10,58,72
2020-05-17,60,74
2020-05-24,51,71
2020-05-31,56,66
2020-06-07,58,74
2020-06-14,58,77
2020-06-21,55,72
2020-06-28,54,76
2020-07-05,59,72
2020-07-12,58,72
2020-07-19,58,76
2020-07-26,55,71
2020-08-02,54,69
2020-08-09,49,64
2020-08-16,51,65
2020-08-23,50,66
2020-08-30,48,65
2020-09-06,52,64
2020-09-13,52,68
2020-09-20,50,60
2020-09-27,40,48
2020-10-04,42,52
2020-10-11,46,47
2020-10-18,41,47
2020-10-25,42,52
2020-11-01,37,44
2020-11-08,43,49
2020-11-15,42,48
2020-11-22,44,53
2020-11-29,43,48
2020-12-06,40,49
2020-12-13,42,47
2020-12-20,36,43
2020-12-27,33,38
2021-01-03,35,44
2021-01-10,39,42
2021-01-17,39,48
2021-01-24,37,45
2021-01-31,43,43
2021-02-07,35,40
2021-02-14,35,41
2021-02-21,40,39
2021-02-28,43,42
2021-03-07,45,44
2021-03-14,46,48
2021-03-21,46,46
2021-03-28,46,45
2021-04-04,44,43
2021-04-11,49,46
2021-04-18,50,46
2021-04-25,46,44
2021-05-02,43,39
2021-05-09,46,43
2021-05-16,51,44
2021-05-23,47,47
2021-05-30,44,47
2021-06-06,44,45
2021-06-13,46,42
2021-06-20,45,42
2021-06-27,45,39
2021-07-04,45,48
2021-07-11,47,43
2021-07-18,46,41
2021-07-25,42,36
2021-08-01,42,43
2021-08-08,42,41
2021-08-15,42,38
2021-08-22,42,36
2021-08-29,42,38
2021-09-05,43,40
2021-09-12,47,41
2021-09-19,40,37
2021-09-26,43,38
2021-10-03,41,37
2021-10-10,50,41
2021-10-17,53,43
2021-10-24,52,42
2021-10-31,53,42
2021-11-07,59,47
2021-11-14,58,44
2021-11-21,51,40
2021-11-28,57,46
2021-12-05,56,44
2021-12-12,53,45
2021-12-19,47,39
2021-12-26,44,36
2022-01-02,56,52
2022-01-09,66,57
2022-01-16,62,50
2022-01-23,72,60
2022-01-30,56,50
2022-02-06,72,57
2022-02-13,87,71
2022-02-20,83,64
2022-02-27,85,65
2022-03-06,86,71
2022-03-13,95,71
2022-03-20,90,69
2022-03-27,100,75
2022-04-03,96,70
2022-04-10,92,65
2022-04-17,94,74
2022-04-24,94,73
2022-05-01,85,67
2022-05-08,91,73
2022-05-15,83,65
2022-05-22,80,64
2022-05-29,78,62
2022-06-05,79,61
2022-06-12,79,64
2022-06-19,81,66
2022-06-26,76,58
2022-07-03,80,59
2022-07-10,79,57
2022-07-17,78,59
2022-07-24,79,56
2022-07-31,71,53
2022-08-07,74,52
2022-08-14,73,50
2022-08-21,74,52
2022-08-28,74,49
2022-09-04,69,50
